cn_no,lr_no,booking_no,trip_no,client_id,vehicle_id,driver_id,branch_id,origin_city,dest_city,origin_addr,dest_addr,weight_t,freight,dispatch_date,expected_delivery,delivered_date,parent_cn_no,status
CN-90501,LR-8501,BKG-4201,TRP-2101,CUST-0090,VEH-050,EMP-0007,BR-018,Morbi,Nagpur,"Gate 5, Morbi","Warehouse, Nagpur",2.6,5500,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90502,LR-8502,BKG-4202,TRP-2102,CUST-0122,VEH-036,EMP-0025,BR-017,Gurugram,Raipur,"Gate 3, Gurugram","Depot, Raipur",10,14400,2026-07-20,2026-07-22,2026-07-22,,Delivered
CN-90503,LR-8503,BKG-4203,TRP-2103,CUST-0041,VEH-050,EMP-0035,BR-006,Raipur,Pune,"Gate 2, Raipur","Warehouse, Pune",10.9,14900,2026-08-01,2026-08-03,2026-08-03,,Delivered
CN-90504,LR-8504,BKG-4204,TRP-2104,CUST-0070,VEH-003,EMP-0009,BR-011,Bhopal,Nashik,"Gate 1, Bhopal","Depot, Nashik",7.6,8900,2026-08-21,2026-08-24,2026-08-24,,Delivered
CN-90505,LR-8505,BKG-4205,TRP-2105,CUST-0002,VEH-013,EMP-0022,BR-014,Hyderabad,Bhopal,"Gate 5, Hyderabad","Depot, Bhopal",19.5,21300,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90506,LR-8506,BKG-4206,TRP-2106,CUST-0090,VEH-009,EMP-0019,BR-018,Morbi,Nashik,"Gate 5, Morbi","Warehouse, Nashik",13.8,13200,2026-07-15,2026-07-18,2026-07-18,,Delivered
CN-90507,LR-8507,BKG-4207,TRP-2107,CUST-0055,VEH-062,EMP-0022,BR-010,Nashik,Mumbai,"Gate 3, Nashik","Warehouse, Mumbai",11.7,8600,2026-07-23,2026-07-28,2026-07-28,,Delivered
CN-90508,LR-8508,BKG-4208,TRP-2108,CUST-0199,VEH-016,EMP-0028,BR-007,Jaipur,Indore,"Gate 2, Jaipur","Godown, Indore",6.3,7500,2026-08-31,2026-09-05,,,In Prep
CN-90509,LR-8509,BKG-4209,TRP-2109,CUST-0029,VEH-044,EMP-0038,BR-017,Gurugram,Jaipur,"Gate 2, Gurugram","Depot, Jaipur",10,8300,2026-08-31,2026-09-04,,,In Prep
CN-90510,LR-8510,BKG-4210,TRP-2110,CUST-0166,VEH-060,EMP-0019,BR-013,Ahmedabad,Bengaluru,"Gate 3, Ahmedabad","Godown, Bengaluru",5,9800,2026-08-08,2026-08-12,2026-08-12,,Delivered
CN-90511,LR-8511,BKG-4211,TRP-2111,CUST-0162,VEH-005,EMP-0020,BR-018,Morbi,Kanpur,"Gate 6, Morbi","Godown, Kanpur",11,16600,2026-08-02,2026-08-05,2026-08-05,,Delivered
CN-90512,LR-8512,BKG-4213,TRP-2112,CUST-0082,VEH-013,EMP-0022,BR-012,Lucknow,Nashik,"Gate 2, Lucknow","Warehouse, Nashik",13.9,20500,2026-08-27,2026-08-29,,,In Prep
CN-90513,LR-8513,BKG-4214,TRP-2113,CUST-0127,VEH-052,EMP-0032,BR-009,Kanpur,Mumbai,"Gate 2, Kanpur","Warehouse, Mumbai",17.3,25900,2026-07-16,2026-07-18,2026-07-18,,Delivered
CN-90514,LR-8514,BKG-4216,TRP-2114,CUST-0170,VEH-052,EMP-0032,BR-014,Hyderabad,Bhopal,"Gate 2, Hyderabad","Warehouse, Bhopal",11.8,13900,2026-08-20,2026-08-24,2026-08-24,,Delivered
CN-90515,LR-8515,BKG-4217,TRP-2115,CUST-0123,VEH-051,EMP-0006,BR-018,Morbi,Surat,"Gate 4, Morbi","Warehouse, Surat",6.5,6600,2026-08-05,2026-08-09,2026-08-09,,Delivered
CN-90516,LR-8516,BKG-4218,TRP-2116,CUST-0061,VEH-021,EMP-0025,BR-011,Bhopal,Kanpur,"Gate 5, Bhopal","Godown, Kanpur",9.6,10100,2026-08-04,2026-08-07,2026-08-07,,Delivered
CN-90517,LR-8517,BKG-4219,TRP-2117,CUST-0170,VEH-058,EMP-0013,BR-014,Hyderabad,Bengaluru,"Gate 2, Hyderabad","Depot, Bengaluru",23.3,21700,2026-07-08,2026-07-10,2026-07-10,,Delivered
CN-90518,LR-8518,BKG-4220,TRP-2118,CUST-0134,VEH-024,EMP-0021,BR-011,Bhopal,Nashik,"Gate 5, Bhopal","Depot, Nashik",11.9,12500,2026-08-16,2026-08-18,2026-08-18,,Delivered
CN-90519,LR-8519,BKG-4221,TRP-2119,CUST-0160,VEH-013,EMP-0022,BR-015,Kolkata,Raipur,"Gate 4, Kolkata","Godown, Raipur",30,32600,2026-08-10,2026-08-13,2026-08-13,,Delivered
CN-90520,LR-8520,BKG-4222,TRP-2120,CUST-0172,VEH-020,EMP-0012,BR-013,Ahmedabad,Surat,"Gate 1, Ahmedabad","Godown, Surat",8,7100,2026-07-29,2026-08-02,2026-08-02,,Delivered
CN-90521,LR-8521,BKG-4223,TRP-2121,CUST-0209,VEH-061,EMP-0008,BR-011,Bhopal,Ahmedabad,"Gate 2, Bhopal","Depot, Ahmedabad",17.1,16500,2026-08-14,2026-08-17,2026-08-17,,Delivered
CN-90522,LR-8522,BKG-4224,TRP-2122,CUST-0070,VEH-061,EMP-0042,BR-011,Bhopal,Lucknow,"Gate 1, Bhopal","Godown, Lucknow",12.5,13200,2026-08-18,2026-08-23,2026-08-23,,Delivered
CN-90523,LR-8523,BKG-4225,TRP-2123,CUST-0090,VEH-005,EMP-0020,BR-018,Morbi,Kolkata,"Gate 5, Morbi","Godown, Kolkata",14.2,29900,2026-08-15,2026-08-19,2026-08-19,,Delivered
CN-90524,LR-8524,BKG-4226,TRP-2124,CUST-0049,VEH-029,EMP-0017,BR-016,Bengaluru,Indore,"Gate 3, Bengaluru","Depot, Indore",24.9,35700,2026-07-27,2026-08-01,2026-08-01,,Delivered
CN-90525,LR-8525,BKG-4227,TRP-2125,CUST-0137,VEH-038,EMP-0043,BR-009,Kanpur,Delhi,"Gate 5, Kanpur","Warehouse, Delhi",21,17900,2026-08-26,2026-08-29,,,In Prep
CN-90526,LR-8526,BKG-4228,TRP-2126,CUST-0031,VEH-024,EMP-0021,BR-002,Delhi,Hyderabad,"Gate 1, Delhi","Depot, Hyderabad",23.9,37600,2026-08-29,2026-09-01,,,In Prep
CN-90527,LR-8527,BKG-4229,TRP-2127,CUST-0140,VEH-042,EMP-0042,BR-001,Nagpur,Lucknow,"Gate 6, Nagpur","Godown, Lucknow",20.1,21800,2026-07-23,2026-07-27,2026-07-27,,Delivered
CN-90528,LR-8528,BKG-4230,TRP-2128,CUST-0115,VEH-041,EMP-0026,BR-010,Nashik,Lucknow,"Gate 5, Nashik","Godown, Lucknow",8,12900,2026-08-03,2026-08-08,2026-08-08,,Delivered
CN-90529,LR-8529,BKG-4231,TRP-2129,CUST-0029,VEH-019,EMP-0024,BR-017,Gurugram,Pune,"Gate 2, Gurugram","Depot, Pune",11,17700,2026-07-21,2026-07-23,2026-07-23,,Delivered
CN-90530,LR-8530,BKG-4232,TRP-2130,CUST-0054,VEH-050,EMP-0029,BR-011,Bhopal,Kolkata,"Gate 2, Bhopal","Warehouse, Kolkata",8.8,14400,2026-07-06,2026-07-09,2026-07-09,,Delivered
CN-90531,LR-8531,BKG-4233,TRP-2131,CUST-0070,VEH-061,EMP-0023,BR-011,Bhopal,Lucknow,"Gate 1, Bhopal","Godown, Lucknow",12.4,13100,2026-08-09,2026-08-14,2026-08-14,,Delivered
CN-90532,LR-8532,BKG-4234,TRP-2132,CUST-0097,VEH-002,EMP-0001,BR-001,Nagpur,Ahmedabad,"Gate 4, Nagpur","Depot, Ahmedabad",4,6500,2026-08-11,2026-08-15,2026-08-15,,Delivered
CN-90533,LR-8533,BKG-4235,TRP-2133,CUST-0177,VEH-021,EMP-0025,BR-005,Indore,Delhi,"Gate 6, Indore","Godown, Delhi",5,7400,2026-07-29,2026-07-31,2026-07-31,,Delivered
CN-90534,LR-8534,BKG-4236,TRP-2134,CUST-0089,VEH-022,EMP-0044,BR-017,Gurugram,Surat,"Gate 6, Gurugram","Warehouse, Surat",26,33100,2026-08-19,2026-08-23,2026-08-23,,Delivered
CN-90535,LR-8535,BKG-4237,TRP-2135,CUST-0205,VEH-040,EMP-0036,BR-001,Nagpur,Nashik,"Gate 3, Nagpur","Godown, Nashik",11.4,12500,2026-08-15,2026-08-18,2026-08-18,,Delivered
CN-90536,LR-8536,BKG-4238,TRP-2136,CUST-0055,VEH-037,EMP-0007,BR-010,Nashik,Raipur,"Gate 3, Nashik","Godown, Raipur",3.5,6400,2026-08-04,2026-08-08,2026-08-08,,Delivered
CN-90537,LR-8537,BKG-4239,TRP-2137,CUST-0140,VEH-060,EMP-0048,BR-001,Nagpur,Mumbai,"Gate 6, Nagpur","Warehouse, Mumbai",12.7,15000,2026-08-16,2026-08-19,2026-08-19,,Delivered
CN-90538,LR-8538,BKG-4240,TRP-2138,CUST-0210,VEH-004,EMP-0003,BR-005,Indore,Delhi,"Gate 6, Indore","Warehouse, Delhi",5.2,7600,2026-08-19,2026-08-22,2026-08-22,,Delivered
