trip_no,booking_no,vehicle_id,driver_id,vendor_id,branch_id,route_from,route_to,distance_km,dispatch_dt,eta,border_allowance,food_allowance,advance,status
TRP-2101,BKG-4201,VEH-050,EMP-0007,,BR-018,Morbi,Nagpur,871,2026-08-16 14:00:00,2026-08-20,1000,400,1700,Completed
TRP-2102,BKG-4202,VEH-036,EMP-0025,,BR-017,Gurugram,Raipur,926,2026-07-20 18:00:00,2026-07-22,1000,400,1350,Completed
TRP-2103,BKG-4203,VEH-050,EMP-0035,,BR-006,Raipur,Pune,868,2026-08-01 20:00:00,2026-08-03,1000,400,1250,Completed
TRP-2104,BKG-4204,VEH-003,EMP-0009,VND-0008,BR-011,Bhopal,Nashik,521,2026-08-21 11:00:00,2026-08-24,1000,400,1200,Completed
TRP-2105,BKG-4205,VEH-013,EMP-0022,,BR-014,Hyderabad,Bhopal,663,2026-08-16 15:00:00,2026-08-20,1000,400,1500,Completed
TRP-2106,BKG-4206,VEH-009,EMP-0019,VND-0028,BR-018,Morbi,Nashik,437,2026-07-15 12:00:00,2026-07-18,1000,400,1450,Completed
TRP-2107,BKG-4207,VEH-062,EMP-0022,VND-0031,BR-010,Nashik,Mumbai,140,2026-07-23 13:00:00,2026-07-28,1000,400,1700,Completed
TRP-2108,BKG-4208,VEH-016,EMP-0028,,BR-007,Jaipur,Indore,466,2026-08-31 18:00:00,2026-09-05,1000,400,1300,Planned
TRP-2109,BKG-4209,VEH-044,EMP-0038,,BR-017,Gurugram,Jaipur,211,2026-08-31 06:00:00,2026-09-04,1000,400,1600,Planned
TRP-2110,BKG-4210,VEH-060,EMP-0019,VND-0024,BR-013,Ahmedabad,Bengaluru,1237,2026-08-08 16:00:00,2026-08-12,1000,400,1250,Completed
TRP-2111,BKG-4211,VEH-005,EMP-0020,VND-0010,BR-018,Morbi,Kanpur,1041,2026-08-02 12:00:00,2026-08-05,1000,400,1400,Completed
TRP-2112,BKG-4213,VEH-013,EMP-0022,,BR-012,Lucknow,Nashik,1055,2026-08-27 12:00:00,2026-08-29,1000,400,1300,Planned
TRP-2113,BKG-4214,VEH-052,EMP-0032,,BR-009,Kanpur,Mumbai,1120,2026-07-16 20:00:00,2026-07-18,1000,400,1700,Completed
TRP-2114,BKG-4216,VEH-052,EMP-0032,,BR-014,Hyderabad,Bhopal,663,2026-08-20 11:00:00,2026-08-24,1000,400,1200,Completed
TRP-2115,BKG-4217,VEH-051,EMP-0006,,BR-018,Morbi,Surat,275,2026-08-05 16:00:00,2026-08-09,1000,400,1400,Completed
TRP-2116,BKG-4218,VEH-021,EMP-0025,,BR-011,Bhopal,Kanpur,461,2026-08-04 17:00:00,2026-08-07,1000,400,1700,Completed
TRP-2117,BKG-4219,VEH-058,EMP-0013,,BR-014,Hyderabad,Bengaluru,500,2026-07-08 18:00:00,2026-07-10,1000,400,1500,Completed
TRP-2118,BKG-4220,VEH-024,EMP-0021,VND-0024,BR-011,Bhopal,Nashik,521,2026-08-16 16:00:00,2026-08-18,1000,400,1400,Completed
TRP-2119,BKG-4221,VEH-013,EMP-0022,,BR-015,Kolkata,Raipur,710,2026-08-10 18:00:00,2026-08-13,1000,400,1500,Completed
TRP-2120,BKG-4222,VEH-020,EMP-0012,,BR-013,Ahmedabad,Surat,208,2026-07-29 09:00:00,2026-08-02,1000,400,1550,Completed
TRP-2121,BKG-4223,VEH-061,EMP-0008,VND-0023,BR-011,Bhopal,Ahmedabad,496,2026-08-14 13:00:00,2026-08-17,1000,400,1600,Completed
