route_id,src_pincode,src_city,dst_pincode,dst_city,distance_km,transit_days,route_path,branch_mapping,pickup_zone,delivery_zone,availability
RT-0001,492001,Raipur,452001,Indore,617,2,Raipur → Indore,Raipur → Indore,Zone Central,Zone Central,Available
RT-0002,411001,Pune,400001,Mumbai,120,1,Pune → Mumbai,Pune → Mumbai,Zone East,Zone East,Available
RT-0003,560001,Bengaluru,440001,Nagpur,923,3,Bengaluru → Nagpur,Bengaluru → Nagpur (HQ),Zone East,Zone Central,Available
RT-0004,122001,Gurugram,462001,Bhopal,579,2,Gurugram → Bhopal,Gurugram → Bhopal,Zone North,Zone West,Available
RT-0005,122001,Gurugram,208001,Kanpur,395,1,Gurugram → Kanpur,Gurugram → Kanpur,Zone West,Zone North,Available
RT-0006,380001,Ahmedabad,422001,Nashik,359,1,Ahmedabad → Nashik,Ahmedabad → Nashik,Zone North,Zone West,Available
RT-0007,462001,Bhopal,122001,Gurugram,579,2,Bhopal → Gurugram,Bhopal → Gurugram,Zone South,Zone East,Available
RT-0008,500001,Hyderabad,395001,Surat,727,2,Hyderabad → Surat,Hyderabad → Surat,Zone North,Zone Central,Available
RT-0009,122001,Gurugram,411001,Pune,1151,3,Gurugram → Pune,Gurugram → Pune,Zone South,Zone Central,Available
RT-0010,440001,Nagpur,302001,Jaipur,723,2,Nagpur → Jaipur,Nagpur (HQ) → Jaipur,Zone South,Zone Central,Available
RT-0011,700001,Kolkata,302001,Jaipur,1358,4,Kolkata → Jaipur,Kolkata → Jaipur,Zone North,Zone West,Limited
RT-0012,226001,Lucknow,452001,Indore,689,2,Lucknow → Indore,Lucknow → Indore,Zone East,Zone South,Available
RT-0013,440001,Nagpur,208001,Kanpur,603,2,Nagpur → Kanpur,Nagpur (HQ) → Kanpur,Zone South,Zone East,Available
RT-0014,560001,Bengaluru,500001,Hyderabad,500,2,Bengaluru → Hyderabad,Bengaluru → Hyderabad,Zone West,Zone South,Available
RT-0015,208001,Kanpur,700001,Kolkata,920,3,Kanpur → Kolkata,Kanpur → Kolkata,Zone West,Zone Central,Available
RT-0016,492001,Raipur,395001,Surat,912,3,Raipur → Surat,Raipur → Surat,Zone West,Zone East,Available
RT-0017,122001,Gurugram,492001,Raipur,926,3,Gurugram → Raipur,Gurugram → Raipur,Zone Central,Zone South,Available
RT-0018,500001,Hyderabad,400001,Mumbai,621,2,Hyderabad → Mumbai,Hyderabad → Mumbai,Zone Central,Zone West,Available
RT-0019,411001,Pune,462001,Bhopal,643,2,Pune → Bhopal,Pune → Bhopal,Zone South,Zone West,Available
RT-0020,452001,Indore,700001,Kolkata,1283,3,Indore → Kolkata,Indore → Kolkata,Zone North,Zone North,Available
RT-0021,122001,Gurugram,302001,Jaipur,211,1,Gurugram → Jaipur,Gurugram → Jaipur,Zone Central,Zone North,Available
RT-0022,700001,Kolkata,560001,Bengaluru,1561,4,Kolkata → Bengaluru,Kolkata → Bengaluru,Zone Central,Zone Central,Limited
RT-0023,208001,Kanpur,452001,Indore,614,2,Kanpur → Indore,Kanpur → Indore,Zone North,Zone West,Available
RT-0024,492001,Raipur,500001,Hyderabad,542,2,Raipur → Hyderabad,Raipur → Hyderabad,Zone South,Zone West,Available
RT-0025,500001,Hyderabad,400001,Mumbai,621,2,Hyderabad → Mumbai,Hyderabad → Mumbai,Zone South,Zone South,Available
RT-0026,422001,Nashik,122001,Gurugram,996,3,Nashik → Gurugram,Nashik → Gurugram,Zone Central,Zone South,Available
RT-0027,422001,Nashik,500001,Hyderabad,574,2,Nashik → Hyderabad,Nashik → Hyderabad,Zone Central,Zone North,Available
RT-0028,500001,Hyderabad,110001,Delhi,1259,3,Hyderabad → Delhi,Hyderabad → Delhi,Zone South,Zone Central,Available
RT-0029,302001,Jaipur,700001,Kolkata,1358,4,Jaipur → Kolkata,Jaipur → Kolkata,Zone Central,Zone North,Limited
RT-0030,363641,Morbi,462001,Bhopal,675,2,Morbi → Bhopal,Morbi → Bhopal,Zone West,Zone Central,Available
RT-0031,411001,Pune,452001,Indore,511,2,Pune → Indore,Pune → Indore,Zone West,Zone North,Available
RT-0032,452001,Indore,560001,Bengaluru,1099,3,Indore → Bengaluru,Indore → Bengaluru,Zone South,Zone East,Available
RT-0033,380001,Ahmedabad,226001,Lucknow,945,3,Ahmedabad → Lucknow,Ahmedabad → Lucknow,Zone West,Zone East,Available
RT-0034,380001,Ahmedabad,440001,Nagpur,703,2,Ahmedabad → Nagpur,Ahmedabad → Nagpur (HQ),Zone North,Zone East,Available
RT-0035,462001,Bhopal,208001,Kanpur,461,2,Bhopal → Kanpur,Bhopal → Kanpur,Zone West,Zone North,Available
RT-0036,400001,Mumbai,395001,Surat,233,1,Mumbai → Surat,Mumbai → Surat,Zone North,Zone North,Available
RT-0037,492001,Raipur,500001,Hyderabad,542,2,Raipur → Hyderabad,Raipur → Hyderabad,Zone East,Zone North,Available
RT-0038,560001,Bengaluru,422001,Nashik,880,2,Bengaluru → Nashik,Bengaluru → Nashik,Zone West,Zone Central,Available
RT-0039,208001,Kanpur,440001,Nagpur,603,2,Kanpur → Nagpur,Kanpur → Nagpur (HQ),Zone Central,Zone Central,Available
RT-0040,422001,Nashik,560001,Bengaluru,880,2,Nashik → Bengaluru,Nashik → Bengaluru,Zone Central,Zone North,Available
RT-0041,380001,Ahmedabad,411001,Pune,518,2,Ahmedabad → Pune,Ahmedabad → Pune,Zone Central,Zone West,Available
RT-0042,492001,Raipur,560001,Bengaluru,1015,3,Raipur → Bengaluru,Raipur → Bengaluru,Zone West,Zone South,Available
RT-0043,452001,Indore,226001,Lucknow,689,2,Indore → Lucknow,Indore → Lucknow,Zone South,Zone North,Available
RT-0044,226001,Lucknow,122001,Gurugram,426,1,Lucknow → Gurugram,Lucknow → Gurugram,Zone South,Zone North,Available
RT-0045,492001,Raipur,411001,Pune,868,2,Raipur → Pune,Raipur → Pune,Zone Central,Zone Central,Available
RT-0046,700001,Kolkata,208001,Kanpur,920,3,Kolkata → Kanpur,Kolkata → Kanpur,Zone Central,Zone West,Available
RT-0047,395001,Surat,700001,Kolkata,1610,4,Surat → Kolkata,Surat → Kolkata,Zone South,Zone Central,Limited
RT-0048,400001,Mumbai,411001,Pune,120,1,Mumbai → Pune,Mumbai → Pune,Zone West,Zone Central,Available
RT-0049,226001,Lucknow,400001,Mumbai,1195,3,Lucknow → Mumbai,Lucknow → Mumbai,Zone North,Zone North,Available
RT-0050,411001,Pune,400001,Mumbai,120,1,Pune → Mumbai,Pune → Mumbai,Zone Central,Zone South,Available
RT-0051,492001,Raipur,560001,Bengaluru,1015,3,Raipur → Bengaluru,Raipur → Bengaluru,Zone West,Zone East,Available
RT-0052,422001,Nashik,462001,Bhopal,521,2,Nashik → Bhopal,Nashik → Bhopal,Zone Central,Zone East,Available
RT-0053,411001,Pune,302001,Jaipur,954,3,Pune → Jaipur,Pune → Jaipur,Zone East,Zone Central,Available
RT-0054,462001,Bhopal,560001,Bengaluru,1144,3,Bhopal → Bengaluru,Bhopal → Bengaluru,Zone East,Zone East,Available
RT-0055,110001,Delhi,560001,Bengaluru,1743,4,Delhi → Bengaluru,Delhi → Bengaluru,Zone East,Zone West,Limited
RT-0056,422001,Nashik,302001,Jaipur,795,2,Nashik → Jaipur,Nashik → Jaipur,Zone East,Zone North,Available
RT-0057,226001,Lucknow,700001,Kolkata,887,2,Lucknow → Kolkata,Lucknow → Kolkata,Zone South,Zone West,Available
RT-0058,700001,Kolkata,122001,Gurugram,1311,3,Kolkata → Gurugram,Kolkata → Gurugram,Zone East,Zone West,Available
RT-0059,492001,Raipur,700001,Kolkata,710,2,Raipur → Kolkata,Raipur → Kolkata,Zone South,Zone North,Available
